1,마우스,19,53
2,모니터,13,57
3,키보드,15,36
4,스피커,14,84
5,모니터,11,87
6,케이스,5,74
7,키보드,14,2
8,모니터,16,44
9,프로젝터,7,24
10,보호필름,4,63
11,마우스,17,100
12,마우스,17,8
13,케이스,18,75
14,스피커,17,50
15,태블릿,15,51
16,모니터,4,80
17,노트북,11,11
18,노트북,18,32
19,마우스,2,6
20,케이스,4,57
21,키보드,16,29
22,키보드,10,98
23,태블릿,20,66
24,키보드,20,36
25,마우스,14,52
26,키보드,13,82
27,모니터,14,54
28,케이스,3,84
29,마우스,5,18
30,태블릿,1,36
31,키보드,9,68
32,메모리,20,24
33,모니터,5,71
34,프로젝터,11,18
35,메모리,7,53
36,노트북,15,75
37,보호필름,8,11
38,마우스,20,8
39,메모리,1,77
40,보호필름,6,33
41,메모리,8,27
42,키보드,13,81
43,노트북,19,66
44,보호필름,12,28
45,프로젝터,9,58
46,케이스,6,7
47,메모리,5,40
48,스피커,1,84
49,태블릿,12,11
50,스피커,15,85
51,키보드,10,26
52,마우스,11,13
53,프로젝터,2,52
54,키보드,9,15
55,노트북,8,77
56,보호필름,7,61
57,케이스,4,38
58,키보드,17,27
59,스피커,13,70
60,스피커,11,6
61,프로젝터,8,71
62,메모리,11,87
63,스피커,13,29
64,스피커,17,66
65,케이스,16,1
66,메모리,18,4
67,모니터,9,17
68,케이스,14,30
69,마우스,4,80
70,마우스,19,92
71,모니터,9,55
72,스피커,6,46
73,보호필름,2,20
74,케이스,19,28
75,노트북,11,84
76,키보드,4,94
77,노트북,10,16
78,키보드,15,58
79,키보드,2,63
80,마우스,5,91
81,스피커,12,3
82,태블릿,16,30
83,케이스,10,71
84,마우스,5,41
85,키보드,6,37
86,케이스,3,1
87,프로젝터,17,17
88,케이스,15,69
89,태블릿,19,19
90,마우스,20,91
91,케이스,20,19
92,케이스,11,64
93,모니터,14,73
94,보호필름,10,37
95,노트북,6,50
96,스피커,13,54
97,메모리,20,45
98,케이스,19,35
99,프로젝터,2,66
100,마우스,4,32
101,노트북,5,49
102,키보드,3,87
103,보호필름,4,52
104,태블릿,12,84
105,케이스,14,48
106,메모리,6,76
107,메모리,8,28
108,마우스,6,35
109,모니터,8,89
110,키보드,15,67
111,키보드,2,45
112,보호필름,11,98
113,마우스,15,50
114,케이스,15,70
115,모니터,10,70
116,태블릿,4,87
117,스피커,5,65
118,마우스,20,52
119,스피커,17,47
120,태블릿,10,4
121,노트북,13,30
122,모니터,5,69
123,마우스,19,21
124,태블릿,17,73
125,모니터,7,81
126,스피커,15,59
127,보호필름,8,95
128,케이스,3,83
129,보호필름,13,29
130,태블릿,1,15
131,프로젝터,9,50
132,노트북,3,21
133,프로젝터,17,47
134,태블릿,19,77
135,노트북,19,29
136,스피커,7,6
137,메모리,15,60
138,프로젝터,12,79
139,보호필름,3,18
140,케이스,20,57
141,태블릿,20,51
142,태블릿,4,33
143,태블릿,13,33
144,노트북,1,76
145,프로젝터,12,11
146,노트북,15,82
147,노트북,4,55
148,노트북,15,18
149,모니터,1,92
150,마우스,4,16
151,스피커,15,10
152,프로젝터,20,25
153,보호필름,8,11
154,케이스,12,9
155,노트북,5,92
156,보호필름,10,3
157,스피커,12,59
158,스피커,14,21
159,마우스,19,13
160,노트북,4,5
161,키보드,10,91
162,보호필름,12,93
163,케이스,7,51
164,보호필름,13,80
165,모니터,16,73
166,메모리,5,90
167,메모리,10,5
168,키보드,12,85
169,태블릿,12,25
170,모니터,8,47
171,스피커,11,56
172,스피커,16,82
173,스피커,17,52
174,케이스,4,25
175,노트북,3,43
176,키보드,15,62
177,스피커,9,48
178,스피커,5,81
179,프로젝터,17,94
180,스피커,11,78
181,프로젝터,17,41
182,메모리,7,93
183,노트북,15,70
184,마우스,2,24
185,케이스,4,42
186,키보드,2,84
187,키보드,15,71
188,보호필름,3,89
189,마우스,16,54
190,보호필름,3,43
191,마우스,15,11
192,노트북,7,93
193,메모리,8,62
194,보호필름,5,72
195,메모리,3,91
196,키보드,5,7
197,보호필름,20,4
198,키보드,12,69
199,마우스,10,68
200,케이스,11,44
